Time ,Temp1,Temp2,Temp3,TCTemp3,,,외부 온도,23.9
0,19.86221041,20.29246962,19.89450878,23.9,,,,4.00549122
0.133,19.87744506,20.26354874,19.91484268,23.9203339,,,,
0.211,19.87765222,20.27171354,19.85199891,23.85749013,,,,
0.312,19.8717821,20.28057277,19.88626823,23.89175945,,,,
0.422,19.87971401,20.28250257,19.91814115,23.92363237,,,,
0.511,19.86403423,20.26591172,19.91084125,23.91633247,,,,
0.612,19.89840083,20.2463836,19.91870325,23.92419447,,,,
0.723,19.8517342,20.23356013,19.90156254,23.90705376,,,,
0.822,19.87185871,20.27062342,19.98401548,23.9895067,,,,
0.923,19.85061447,20.26720692,19.96151913,23.96701035,,,,
1.006,19.85640477,20.21720839,19.89236004,23.89785126,,,,
1.107,19.83887045,20.26016695,19.97209543,23.97758665,,,,
1.207,19.81988091,20.22941777,19.97033309,23.97582431,,,,
1.306,19.85654519,20.24791233,19.96160834,23.96709956,,,,
1.407,19.8255602,20.26774318,19.93990412,23.94539534,,,,
1.506,19.81656567,20.24048522,19.87465285,23.88014407,,,,
1.607,19.81056543,20.25430487,19.99489198,24.0003832,,,,
1.706,19.7892654,20.25148194,20.00937022,24.01486144,,,,
1.807,19.79307741,20.24804953,19.8840997,23.88959092,,,,
0,19.88096507,20.38128455,19.81086709,23.81635831,,,,
0.107,19.88687843,20.23356229,19.76468406,23.77017528,,,,
0.206,19.8545419,20.34003903,19.38202089,23.38751211,,,,
0.305,19.82705452,20.44263101,19.73421461,23.73970583,,,,
0.405,19.84479839,20.33035682,19.74200102,23.74749224,,,,
0.507,19.85122449,20.22810408,19.89600844,23.90149966,,,,
0.605,19.85336052,20.02731296,19.6107017,23.61619292,,,,
0.706,19.84338166,20.18371047,19.91686566,23.92235688,,,,
0.806,19.8241803,20.50856073,20.24411959,24.24961081,,,,
0.907,19.8220682,20.12948534,19.56729836,23.57278958,,,,
1.006,19.85097407,19.8955583,19.54021853,23.54570975,,,,
1.105,19.82468242,19.9943928,20.17879295,24.18428417,,,,
1.206,19.86477155,20.1723792,19.9923298,23.99782102,,,,
1.305,19.89244368,20.35552017,19.71526072,23.72075194,,,,
1.406,19.80689149,20.23066095,19.50497603,23.51046725,,,,
1.506,19.77378439,20.19711877,19.19245164,23.19794286,,,,
1.607,19.81568056,20.25557265,20.13437257,24.13986379,,,,
1.706,19.73223395,20.16051881,19.60484882,23.61034004,,,,
1.806,19.77016137,20.27691127,19.19939399,23.20488521,,,,
1.907,19.79251978,20.33009263,20.90508369,24.91057491,,,,
2.007,19.78990052,20.18514275,21.2242828,25.22977402,,,,
2.105,19.76921238,20.21201151,20.08992827,24.09541949,,,,
2.206,19.71802059,20.17199956,19.43753424,23.44302546,,,,
